keep,public_any,pct_data_public,var_name,var_label,var_def,domain,subdomain,dataset_instance,n_data_pts_public,n_data_pts_private,n_data_pts_total,intermediate_metadata
1,yes,100%,CNSWATNET,Water network,Percentage of households with water from a public or private water network.,"Social, Economic, and Services Environment",Housing and Infrastructure,SEC_Census_v1.0,104845,0,104845,""
1,yes,100%,CNSWATPIPE,Piped water,"Percentage of households with piped water. Piped water includes all piped water, regardless of whether the water is within or outside the dwelling and property. The water connection may also be exclusive or shared between households. Piped water may not always be from potable sources.","Social, Economic, and Services Environment",Housing and Infrastructure,SEC_Census_v1.0,56198,0,56198,""
1,yes,100%,CNSWE1,Women’s empowerment score 1- Labor force participation,"The variable refers to women’s participation in the labor force depicting some aspect of women’s socio-economic position.  Since it includes the relation of female to male in educational attainment and in labor force participation, it is also accounting for gender inequalities in education and labor market that have been described as relevant in low- and middle-income countries.It includes the following indicators: ratio female/ male in population aged 25 and over with high school level or above; ratio female/ male in population aged 25 or above with complete university or above; labor force participation among women; and ratio female/male in labor force participation. Higher score values signify greater participation of women in labor force and greater education of women relative to men. Women's empowerment scores were derived from a principle components analysis.","Social, Economic, and Services Environment",Gender Equity,wescores_v1.0,371,0,371,""
1,yes,100%,CNSWE2,Women’s empowerment score 1 -Educational attainment,This variable refers to the level of educational attainment among women and was used as a measure of differences within women. It includes: % female population with at least complete high school among female population aged 25 years or above; and % of female population with complete university or above among female population aged 25 years or above. Higher score values signify greater education achievement among women. Women's empowerment scores were derived from a principle components analysis.,"Social, Economic, and Services Environment",Gender Equity,wescores_v1.0,371,0,371,""
1,yes,90%,DTHDEATHS,Number of deaths,Number of all-cause deaths,Mortality,Mortality Counts,DTH_v2.0,198977,21391,220368,""
1,yes,92%,DTHRED1DEATHS,"Number of deaths with redistributed ill-defined, GHE Tier 1 cause of death","Number of deaths in the geographic region, age, year, male and cause of death combination with redistributed ill-defined.",Mortality,Mortality Counts,DTHRED1_v2.0,142632,13152,155784,""
1,yes,87%,DTHRED2DEATHS,"Number of deaths with redistributed ill-defined, GHE Tier 2 cause of death","Number of deaths in the geographic region, age, year, male and cause of death combination with redistributed ill-defined.",Mortality,Mortality Counts,DTHRED2_v2.0,88441,13063,101504,""
1,yes,84%,LEALE,Life Expectancy,"Estimated life expectancy at given age, sex at a given geographic area.",Mortality,Life Expectancy,LEMEDIAN_L1_v1.0,11628,2280,13908,""
1,yes,85%,LEALESAMPLE,Sex-specific life expectancy,Estimated sex-specific life expectancy at the age specified by LEAGE,Mortality,Life Expectancy,LE_L1_v1.0,42306,7694,50000,""
1,yes,100%,POLFEMELECT,Percent women elected as mayor within city,Percent subcities (or municipalities in Argentina) within a city (L1AD) that have a female elected as mayor in the last known election between 2010-2014 and by 2015 or 2017 for Argentina and by 2015 for Peru,"Social, Economic, and Services Environment",Gender Equity,WomenPP_v1.0,368,0,368,""
0,yes,100%,POLNFEMELECT,Number of subcity (L2) units to calculate POLFEMELECT,Number of subcity (L2) units (or municipalities aggregated up to L1AD in Argentina) used to cal-culate the percent women elected as mayor.,"Social, Economic, and Services Environment",Gender Equity,WomenPP_v1.0,370,0,370,""
0,yes,100%,POLNSEX,Number of municipalities to calculate POLSEX ,Number of municipalities aggregated up to subcities (L2) in Argentina (used to calculate the percent female elected as mayor).,"Social, Economic, and Services Environment",Gender Equity,WomenPP_v1.0,1427,0,1427,""
